"PHILIPPINES","....MC - White shrimp",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"PHILIPPINES","....MC - Grouper",6976.00,25650.00,38227.00,35792.00,37362.00,24716.00,27587.00,42840.00,45255.00,60047.78,117657.94,210994.41,3434259.79,946074.82,45064.17,61719.95,62887.65,80344.25,90638.06,95512.75,73454.11,88804.09
"PHILIPPINES","....MC - Siganid",150.00,6000.00,351.00,1092.00,2429.00,3345.00,5410.00,6747.00,7812.00,5381.60,4017.01,5024.84,5865.91,7543.77,6849.67,5090.34,5185.30,8168.13,9777.28,10482.11,8266.45,6050.07
"PHILIPPINES","....MC - Spiny lobster",6900.00,6700.00,10000.00,15330.00,15260.00,14630.00,7791.00,9314.00,9188.00,11629.00,14235.20,21191.96,25057.40,26839.81,164465.56,120995.27,58743.88,13630.87,10730.57,12365.61,15504.60,20265.87
"PHILIPPINES","....MC - Others",5360.00,3500.00,1825.00,15808.00,7827.00,45291.00,11236.00,17198.00,21675.00,37121.00,68479.79,111775.22,102243.79,83145.47,1777941.67,1580541.05,2090765.76,886774.40,195521.70,202587.00,86836.17,53074.92
"PHILIPPINES","..OYSTER",51652.00,71737.00,124932.00,151059.00,97962.00,146372.00,68401.00,78229.00,111038.00,105974.00,120306.00,142011.35,121945.66,134608.34,158191.35,181841.41,157605.08,170893.60,179511.69,180873.99,203357.76,259820.87
"PHILIPPINES","..MUSSEL",51682.00,44113.00,66299.00,101153.00,114137.00,100562.00,62405.50,72141.00,88849.00,138863.00,125806.00,140682.31,181521.94,181794.73,195837.85,231441.23,266105.00,252644.08,222694.18,215420.95,273755.44,346292.86
"PHILIPPINES","..SEAWEED",1763411.00,1529220.00,1865104.00,2476952.00,2378195.00,2960196.00,3236647.00,3671997.00,5261401.00,6040899.00,6346723.00,6299346.96,12848368.61,9591251.79,11974744.93,11391077.43,9776297.29,9903232.14,10517705.06,8315270.35,6104737.53,8301351.18
"PHILIPPINES","..RICE FISH",..,..,..,..,..,..,..,..,..,..,..,206.95,172.44,306.96,4280.89,3245.18,3833.09,248.69,227.92,308.88,267.65,259.45
"PHILIPPINES","....RF - Milkfish",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.58,26.35
"PHILIPPINES","....RF - Tilapia",..,..,..,..,..,..,..,..,..,..,..,70.25,53.51,174.13,3346.89,2781.09,3230.89,172.28,227.92,258.43,174.95,192.53
"PHILIPPINES","....RF - Carp",..,..,..,..,..,..,..,..,..,..,..,10.00,5.08,19.20,309.80,159.47,224.50,6.50,..,4.00,4.80,6.00
"PHILIPPINES","....RF - Catfish",..,..,..,..,..,..,..,..,..,..,..,21.00,25.10,14.80,242.38,115.73,142.45,11.70,..,9.90,9.17,10.77
"PHILIPPINES","....RF - Gourami",..,..,..,..,..,..,..,..,..,..,..,4.00,6.88,8.00,266.75,74.40,79.05,35.75,..,26.65,25.19,4.00
"PHILIPPINES","....RF - Mudfish",..,..,..,..,..,..,..,..,..,..,..,101.70,81.87,84.33,101.17,106.39,148.10,16.20,..,9.90,11.36,13.30
"PHILIPPINES","....RF - Others",..,..,..,..,..,..,..,..,..,..,..,..,..,6.50,13.90,8.10,8.10,6.26,..,..,21.60,6.50
"PHILIPPINES","..SMALL FARM RESERVOIR",..,..,..,..,..,..,..,..,..,2047.63,5520.60,5135.08,16705.28,10688.47,10775.33,16409.88,21895.47,13682.52,11328.56,5873.12,4334.42,5066.73
"PHILIPPINES","....SFR - Milkfish",..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.91,..,..,..,..,..,..,1.44
"PHILIPPINES","....SFR - Tilapia",..,..,..,..,..,..,..,..,..,2010.00,5195.00,4517.76,12594.34,8691.89,9008.54,13658.93,18779.66,11679.56,8989.83,4828.88,3515.01,4514.38
"PHILIPPINES","....SFR - Carp",..,..,..,..,..,..,..,..,..,4.00,57.00,112.70,499.54,361.71,303.54,666.24,1034.36,477.07,491.75,193.62,169.93,85.98
"PHILIPPINES","....SFR - Catfish",..,..,..,..,..,..,..,..,..,8.00,53.00,119.97,2381.71,538.12,425.28,717.28,633.60,560.44,539.45,337.96,266.50,185.42
"PHILIPPINES","....SFR - Gourami",..,..,..,..,..,..,..,..,..,3.50,27.00,20.78,72.56,185.50,156.80,204.38,216.56,146.34,75.96,43.86,31.32,19.62
"PHILIPPINES","....SFR - Mudfish",..,..,..,..,..,..,..,..,..,21.40,169.00,172.46,888.49,697.77,786.70,1074.75,1165.94,762.07,627.23,461.30,307.38,243.17
"PHILIPPINES","....SFR - Others",..,..,..,..,..,..,..,..,..,0.73,19.60,191.41,268.64,213.48,65.56,88.30,65.35,57.04,604.34,7.50,44.28,16.72
