province,type,metric,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Papua Barat,freshwater pond,area_hectares,1.261,72,334,1.128,1.128,5.449,1.313,904,1.747,2.475,2.399
Indonesia,freshwater pond,area_hectares,107.785,90.33,105.127,241.891,270.354,146.577,126.382,131.776,176.509,161.387,189.196
Aceh,cage,area_hectares,1,1,2,1,1,0,0,2,0,−,−
Sumatera Utara,cage,area_hectares,1,2,5,-,19,32,31,37,33,33,38
Sumatera Barat,cage,area_hectares,2,17,12,2,4,4,4,4,5,5,5
Riau,cage,area_hectares,8,7,11,18,28,31,30,2,2,10,10
Kepulauan Riau,cage,area_hectares,5,0,0,0,0,0,0,5,2,0,0
Jambi,cage,area_hectares,2,95,99,2,16,21,26,0,9,9,65
Sumatera Selatan,cage,area_hectares,0,1,2,1,0,0,0,-,1,1,1
Kepulauan Bangka Belitung,cage,area_hectares,0,4,9,6,4,98,86,-,17,174,181
Bengkulu,cage,area_hectares,-,3,0,0,0,-,-,26,-,−,−
Lampung,cage,area_hectares,-,-,-,-,-,-,-,0,-,−,−
DKI Jakarta,cage,area_hectares,-,-,-,-,-,-,-,-,-,−,−
Jawa Barat,cage,area_hectares,14,10,17,19,5,1,2,0,1,2,15
Banten,cage,area_hectares,7,12,5,3,29,75,31,0,22,21,40
Jawa Tengah,cage,area_hectares,0,8,2,0,0,2,0,1,0,1,1
DI Yogyakarta,cage,area_hectares,24,6,10,7,1,1,2,2,1,1,1
Jawa Timur,cage,area_hectares,3,3,3,2,5,6,1,29,0,0,0
Bali,cage,area_hectares,-,1,2,-,-,-,-,-,-,−,−
Nusa Tenggara Barat,cage,area_hectares,18,6,12,12,12,9,21,6,3,4,4
Nusa Tenggara Timur,cage,area_hectares,-,-,-,-,-,-,-,-,-,−,−
Kalimantan Barat,cage,area_hectares,10,31,53,56,16,49,48,9,72,79,81
Kalimantan Tengah,cage,area_hectares,6,22,59,42,134,270,242,264,35,41,427
Kalimantan Selatan,cage,area_hectares,8,7,9,10,10,9,5,9,10,10,6
Kalimantan Timur,cage,area_hectares,3,70,95,12,4,4,5,2,2,1,2
Kalimantan Utara,cage,area_hectares,,,,,,,,,,,−
Sulawesi Utara,cage,area_hectares,1,4,7,5,6,0,0,0,0,0,0
Gorontalo,cage,area_hectares,36,0,0,0,0,1,1,0,0,0,0
Sulawesi Tengah,cage,area_hectares,243,-,-,2,1,1,0,-,3,3,3
Sulawesi Selatan,cage,area_hectares,-,1,4,-,-,-,-,2,-,−,−
Sulawesi Barat,cage,area_hectares,0,9,9,3,3,3,3,1,1,0,1
Sulawesi Tenggara,cage,area_hectares,-,-,0,0,-,-,-,2,,−,−
Maluku,cage,area_hectares,3,-,0,0,-,-,-,-,-,−,−
Maluku Utara,cage,area_hectares,5,-,1,-,-,-,3,-,-,−,−
Papua,cage,area_hectares,-,-,-,-,-,0,-,21,-,−,−
Papua Barat,cage,area_hectares,0,1,6,3,3,20,20,-,-,−,−
Indonesia,cage,area_hectares,401,320,433,207,300,637,561,427,218,396,883
Aceh,floating cage net,area_hectares,-,2,7,7,7,6,4,1,5,1,1
Sumatera Utara,floating cage net,area_hectares,13,10,16,16,38,45,38,38,46,66,68
Sumatera Barat,floating cage net,area_hectares,21,31,31,32,75,75,74,76,74,74,74
Riau,floating cage net,area_hectares,33,-,-,0,0,0,0,1,16,6,7
Kepulauan Riau,floating cage net,area_hectares,30,9,11,11,12,13,21,8,16,15,14
Jambi,floating cage net,area_hectares,14,0,1,1,84,2,8,2,22,1,7
Sumatera Selatan,floating cage net,area_hectares,15,-,1,0,1,1,0,0,10,12,6
Kepulauan Bangka Belitung,floating cage net,area_hectares,22,9,13,12,23,296,645,-,318,321,357
Bengkulu,floating cage net,area_hectares,26,1,1,0,0,0,0,317,0,0,0
Lampung,floating cage net,area_hectares,-,-,-,-,-,-,-,11,-,−,−
DKI Jakarta,floating cage net,area_hectares,-,-,-,-,-,-,-,-,-,−,−
Jawa Barat,floating cage net,area_hectares,367,779,862,567,881,145,174,2,446,457,955
Banten,floating cage net,area_hectares,84,8,3,4,64,67,65,0,41,2,53
Jawa Tengah,floating cage net,area_hectares,34,2,1,1,0,1,0,254,0,0,0
