province,aquaculture_type,units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Papua,freshwater pond,ton,0,3,1.316,1.942,1.628,1.236,1.114,1.115,1.002,1.159,1.263,2.798,2.319,6.784,8.552,7.834
Indonesia,freshwater pond,ton,214.393,222.792,254.625,281.262,286.182,331.966,381.945,410.373,479.167,554.067,819.809,1.127.127,1.433.820,1.774.407,1.963.509,2.043.161
Aceh,cage,ton,46,3,180,1.665,1.761,342,27,4,128,65,143,298,223,20,-,–
Sumatera Utara,cage,ton,173,203,379,379,252,234,258,323,600,6.731,2.251,252,1.208,503,358,1.628
Sumatera Barat,cage,ton,3.048,3.809,4.562,6.972,9.103,9.558,3.448,4.294,3.044,3.200,3.267,2.371,3.979,5.602,6.034,5.898
Riau,cage,ton,424,2.240,2.362,3.168,2.064,987,2.741,2.864,7.983,7.988,12.468,4.367,4.438,5.324,5.557,5.380
Kepulauan Riau,cage,ton,1.160,754,1.159,1.612,2.950,3.627,92,371,141,721,386,356,85.825,86.896,213,84
Jambi,cage,ton,760,7.645,5.769,3.608,730,17.401,20.393,18.325,21.246,24.029,27.053,42.911,48,135,92.519,65.032
Sumatera Selatan,cage,ton,4,4,381,541,459,39,228,60,96,68,67,197,-,-,1.177,1.657
Kepulauan Bangka Belitung,cage,ton,60,152,130,165,286,406,462,927,802,545,696,508,-,-,636,476
Bengkulu,cage,ton,-,-,-,-,58,-,3,-,1,1,-,-,559,634,-,–
Lampung,cage,ton,-,-,-,-,-,-,-,-,-,-,-,-,989,380,-,–
DKI Jakarta,cage,ton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,–
Jawa Barat,cage,ton,199,367,266,472,1.396,514,970,1.068,923,225,346,491,365,286,227,233
Jawa Tengah,cage,ton,5.721,6.657,5.048,5.781,5.550,375,481,495,617,1.445,2.557,2.697,1.108,984,1.730,1.154
DI Yogyakarta,cage,ton,114,143,57,58,238,112,56,47,62,65,91,85,75,39,40,40
Jawa Timur,cage,ton,1.387,2.185,1.737,1.840,2.004,2.798,1.310,1.106,666,134,264,676,428,345,591,1.487
Banten,cage,ton,0,0,18,21,34,28,42,60,56,18,38,95,55,57,57,57
Bali,cage,ton,0,35,-,-,48,-,46,49,-,-,158,-,-,-,-,–
Nusa Tenggara Barat,cage,ton,24,783,701,306,303,350,375,470,916,379,306,1.249,1.379,1.543,1.449,1.665
Nusa Tenggara Timur,cage,ton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,–
Kalimantan Barat,cage,ton,692,841,810,820,999,3.027,2.965,229,3.950,4.303,7.390,1.721,6.253,14.463,16.034,21.913
Kalimantan Tengah,cage,ton,1.558,1.470,1.721,1.391,2.112,3.359,3.751,4.285,5.030,7.254,11.228,13.634,16.802,22.954,26.395,27.724
Kalimantan Selatan,cage,ton,1.909,2.819,2.878,3.666,5.005,4.293,3.713,3.728,4.737,11.785,12.019,20.258,20.977,26.915,34.806,28.920
Kalimantan Timur,cage,ton,6.395,7.068,6.970,2.087,16.532,18.627,12.239,23.216,24.067,31.869,35.905,35.103,32.288,32.156,32.784,29.746
Kalimantan Utara,cage,ton,,,,,,,,,,,,,,,,–
Sulawesi Utara,cage,ton,1.720,1.703,5.295,5.336,1.371,1.302,1.266,263,190,534,3.825,3.112,299,343,345,300
Sulawesi Tengah,cage,ton,12,12,2,-,27,23,44,27,29,41,266,273,346,9,38,25
Sulawesi Selatan,cage,ton,-,-,-,-,-,2,-,-,-,104,123,194,217,364,282,352
Sulawesi Tenggara,cage,ton,19,-,-,-,-,-,9,458,-,-,-,-,-,-,-,–
Gorontalo,cage,ton,0,100,15,17,75,234,770,847,220,136,188,89,68,54,30,20
Sulawesi Barat,cage,ton,-,-,-,-,-,-,-,48,-,-,-,-,1,-,-,–
Maluku,cage,ton,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,–
Maluku Utara,cage,ton,-,-,-,-,-,-,-,8,-,-,-,213,-,-,-,–
Papua Barat,cage,ton,-,-,-,-,-,-,-,-,-,-,12,-,438,-,-,–
Papua,cage,ton,348,347,302,399,338,251,510,349,266,131,223,234,-,-,-,–
Indonesia,cage,ton,25.773,39.340,40.742,40.304,53.695,67.889,56.200,63.929,75.769,101.771,121.271,131.383,178.367,200.006,221.304,193.790
Aceh,floating cage,ton,,,,,-,-,345,479,289,200,555,271,316,480,240,300
Sumatera Utara,floating cage,ton,,,,,3.392,4.336,1.106,3.939,35.177,34.887,47.683,42.962,51.035,83.154,97.339,72.195
Sumatera Barat,floating cage,ton,,,,,4.839,5.070,8.378,10.825,48.164,24.769,35.849,36.664,52.929,45.123,49.483,73.526
Riau,floating cage,ton,,,,,-,163,-,-,40,98,87,16.875,26.020,23.401,25.152,25.315
Kepulauan Riau,floating cage,ton,,,,,761,949,4.729,8.073,9.896,10.981,11.960,11.930,42.821,47.793,12.677,12.029
Jambi,floating cage,ton,,,,,-,115,125,418,170,7.495,9.168,12.683,467,1.453,8.229,11.567
Sumatera Selatan,floating cage,ton,,,,,-,8,-,11,27,79,230,296,1,-,3.202,2.509
Kepulauan Bangka Belitung,floating cage,ton,,,,,797,1.080,1.249,1.040,1.270,1.482,2.145,2.747,-,-,3.698,3.385
Bengkulu,floating cage,ton,,,,,20,7,28,20,18,32,41,3,3.594,3.319,1,1
Lampung,floating cage,ton,,,,,-,-,-,-,-,-,-,-,10.870,15.371,-,–
DKI Jakarta,floating cage,ton,,,,,-,-,-,-,-,-,-,-,-,-,-,–
Jawa Barat,floating cage,ton,,,,,44.609,80.824,115.976,143.244,144.560,135.020,157.195,185.428,195.312,179.018,185.005,198.984
Jawa Tengah,floating cage,ton,,,,,-,6.737,6.965,7.169,9.864,11.067,15.990,21.823,29.346,28.701,41.833,44.749
DI Yogyakarta,floating cage,ton,,,,,-,192,147,18,17,10,13,22,14,16,1,0
Jawa Timur,floating cage,ton,,,,,-,-,1.323,1.372,1.910,2.155,2.557,9.281,11.700,12.726,11.694,11.361
Banten,floating cage,ton,,,,,120,99,147,211,144,655,862,1.989,2.452,1.118,977,1.113
Bali,floating cage,ton,,,,,111,115,145,165,396,519,1.811,3.533,2.890,4.098,4.359,4.687
Nusa Tenggara Barat,floating cage,ton,,,,,-,-,-,31,-,-,6.781,797,149,1.537,2.290,846
Nusa Tenggara Timur,floating cage,ton,,,,,-,-,-,-,-,-,-,-,-,-,-,–
Kalimantan Barat,floating cage,ton,,,,,-,30,-,3.521,173,273,2.213,10.928,2.866,3.227,2.943,3.933
Kalimantan Tengah,floating cage,ton,,,,,-,-,-,32,49,165,294,258,965,863,585,346
Kalimantan Selatan,floating cage,ton,,,,,129,212,424,503,596,959,2.945,6.940,8.496,5.991,8.681,7.835
Kalimantan Timur,floating cage,ton,,,,,-,-,-,49,9,4,-,-,-,61,3,1
Kalimantan Utara,floating cage,ton,,,,,,,,,,,,,,,,–
Sulawesi Utara,floating cage,ton,,,,,6.124,7.965,1.489,8.502,9.310,6.496,7.499,2.943,4.324,39.902,36.708,54.661
Sulawesi Tengah,floating cage,ton,,,,,923,923,-,-,-,-,-,-,-,630,91,58
Sulawesi Selatan,floating cage,ton,,,,,-,-,-,-,40,-,-,-,-,375,-,-
Sulawesi Tenggara,floating cage,ton,,,,,-,-,-,-,-,-,-,-,-,-,-,-
Gorontalo,floating cage,ton,,,,,533,583,664,1.021,871,1.097,3.273,6.577,8.189,5.928,4.916,4.716
Sulawesi Barat,floating cage,ton,,,,,,,-,-,-,-,4,4,-,-,-,–
Maluku,floating cage,ton,,,,,-,-,-,-,-,-,-,-,-,-,-,–
Maluku Utara,floating cage,ton,,,,,13,13,12,252,181,163,334,478,254,378,37,29
Papua Barat,floating cage,ton,,,,,-,-,-,-,-,-,11,-,-,3,-,7
Papua,floating cage,ton,,,,,-,-,-,-,-,-,-,-,-,583,731,1.518
Indonesia,floating cage,ton,,,,,62.371,109.421,143.251,190.893,263.169,238.606,309.499,375.430,455.012,505.248,500.873,535.673
Aceh,nets step,ton,,,,,,,,,,,,,,,673,800
Sumatera Utara,nets step,ton,,,,,,,,,,,,,,,-,2
Sumatera Barat,nets step,ton,,,,,,,,,,,,,,,345,945
Riau,nets step,ton,,,,,,,,,,,,,,,68,136
Kepulauan Riau,nets step,ton,,,,,,,,,,,,,,,-,41
Jambi,nets step,ton,,,,,,,,,,,,,,,52.056,26.785
Sumatera Selatan,nets step,ton,,,,,,,,,,,,,,,1.979,2.275
Kepulauan Bangka Belitung,nets step,ton,,,,,,,,,,,,,,,-,–
Bengkulu,nets step,ton,,,,,,,,,,,,,,,6,235
Lampung,nets step,ton,,,,,,,,,,,,,,,-,–
DKI Jakarta,nets step,ton,,,,,,,,,,,,,,,-,–
Jawa Barat,nets step,ton,,,,,,,,,,,,,,,-,–
Jawa Tengah,nets step,ton,,,,,,,,,,,,,,,-,–
DI Yogyakarta,nets step,ton,,,,,,,,,,,,,,,-,–
Jawa Timur,nets step,ton,,,,,,,,,,,,,,,-,–
Banten,nets step,ton,,,,,,,,,,,,,,,-,–
Bali,nets step,ton,,,,,,,,,,,,,,,-,–
Nusa Tenggara Barat,nets step,ton,,,,,,,,,,,,,,,16,–
Nusa Tenggara Timur,nets step,ton,,,,,,,,,,,,,,,-,–
Kalimantan Barat,nets step,ton,,,,,,,,,,,,,,,1.231,1.354
